year,state,totVotes,demVotes,demPct,demEV,gopVotes,gopPct,gopEV,VEP,VAP,pctNonCit,prison,probation,parole,felon,turntE,turntA,demPres,demVice,gopPres,gopVice,demPresBorn,demViceBorn,gopPresBorn,gopViceBorn,ageAll,age4,age17,age24,age44,age64,ageOld,ageMed,gsp,pop,white,black,native,asian,pacific,mult
2012,New Jersey,3638499,2122786,58.3,14,1478088,40.6,0,5916716,6847503,0.121,23225,114886,14987,99102,0.61495245,0.531361432,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,8867749,6538861,1298922,51903,796479,8269,173315
2012,New Mexico,783758,415335,53,5,335788,42.8,0,1436189,1573400,0.073,6727,21381,5078,23137,0.545720654,0.498130164,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,2083540,1732703,51145,214068,33357,3339,48928
2012,New York,7061925,4471871,63.4,29,2485432,35.2,0,13319786,15344671,0.125,54210,0,46222,100432,0.530183068,0.460220033,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,19576125,13933395,3419635,186104,1571861,25135,439995
2012,North Carolina,4505372,2178391,48.4,0,2270395,50.4,15,6946385,7496980,0.061,37136,96070,4359,92412,0.648592325,0.600958253,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,9748364,7010400,2143640,151413,240707,11038,191166
2012,North Dakota,322932,124966,38.7,0,188320,58.3,3,539152,549955,0.017,1512,0,0,1512,0.598962816,0.587197134,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,701345,630861,10905,38690,8003,465,12421
2012,Ohio,5580822,2827621,50.7,18,2661407,47.7,0,8648932,8896930,0.022,50876,0,0,50876,0.645261403,0.627275026,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,11553031,9635923,1441489,30683,212236,5570,227130
2012,Oklahoma,1334872,443547,33.2,0,891325,66.8,7,2713268,2885093,0.045,25225,25506,2310,41053,0.491979414,0.462679019,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,3815780,2883622,291447,344308,72732,5950,217721
2012,Oregon,1789270,970488,54.2,7,754175,42.1,0,2834868,3050747,0.066,14840,0,0,14840,0.63116519,0.586502257,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,3899801,3445956,77506,68915,156715,15775,134934
2012,Pennsylvania,5753670,2990274,52.1,20,2680434,46.7,0,9650361,10037099,0.033,51125,0,0,51125,0.596212929,0.573240336,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,12764475,10648362,1461734,42109,385822,7792,218656
2012,Rhode Island,446049,279677,62.7,4,157204,35.2,0,768849,834983,0.075,3318,0,0,3318,0.580151629,0.534201295,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,1050304,901799,77252,9570,34206,1689,25788
2012,South Carolina,1964118,865941,44.1,0,1071645,54.6,9,3486345,3662322,0.035,22388,34945,6116,47025,0.563374537,0.536304017,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,4723417,3229743,1320482,25332,68178,4140,75542
2012,South Dakota,363815,145039,39.9,0,210610,57.9,3,613114,631472,0.019,3650,0,2761,6411,0.593388831,0.576137976,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,834047,718261,14293,74604,9152,608,17129
2012,Tennessee,2458577,960709,39.1,0,1462330,59.5,11,4735808,4976284,0.033,28411,64430,13138,75697,0.519146258,0.49405882,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,6454914,5115681,1097377,27460,103235,5829,105332
2012,Texas,7993851,3308124,41.4,0,4569843,57.2,38,16111165,19185395,0.135,166372,405473,112288,493561,0.496168402,0.416663353,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,26060796,20995935,3216473,262718,1102514,34071,449085
2012,Utah,1017440,251813,24.7,0,740600,72.8,6,1832988,1978956,0.07,6962,0,0,6962,0.555071828,0.514129672,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,2854871,2621222,36709,42253,63550,27386,63751
2012,Vermont,299290,199239,66.6,3,92698,31,0,493355,502242,0.018,0,0,0,0,0.606642276,0.595907949,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,625953,597028,6977,2320,8688,205,10735
